Complexity metrics (2),Thu, 24 Nov 2022 22:08:36 EET
Method,CogC,v(G)
Main.main(String[]),0,1
domain.Entity.getId(),0,1
domain.Entity.setId(ID),0,1
"domain.Friendship.Friendship(Long, Long, LocalDateTime)",0,1
domain.Friendship.getFriendsFrom(),0,1
domain.Friendship.getIdUser1(),0,1
domain.Friendship.getIdUser2(),0,1
domain.Friendship.setFriendsFrom(LocalDateTime),0,1
domain.Friendship.setIdUser1(Long),0,1
domain.Friendship.setIdUser2(Long),0,1
"domain.User.User(String, String)",0,1
domain.User.equals(Object),3,4
domain.User.getFirstName(),0,1
domain.User.getLastName(),0,1
domain.User.setFirstName(String),0,1
domain.User.setLastName(String),0,1
domain.User.toString(),0,1
domain.validator.FriendshipValidator.FriendshipValidator(UserDBRepo),0,1
domain.validator.FriendshipValidator.validate(Friendship),6,7
domain.validator.UserValidator.validate(User),7,8
domain.validator.ValidationException.ValidationException(),0,1
domain.validator.ValidationException.ValidationException(String),0,1
"domain.validator.ValidationException.ValidationException(String, Throwable)",0,1
"domain.validator.ValidationException.ValidationException(String, Throwable, boolean, boolean)",0,1
domain.validator.ValidationException.ValidationException(Throwable),0,1
repository.database.FriendshipDBRepo.FriendshipDBRepo(FriendshipValidator),0,1
repository.database.FriendshipDBRepo.delete(Long),1,2
repository.database.FriendshipDBRepo.findAll(),2,3
repository.database.FriendshipDBRepo.findOne(Long),2,3
repository.database.FriendshipDBRepo.save(Friendship),2,3
repository.database.FriendshipDBRepo.update(Friendship),3,4
repository.database.JDBCUtils.JDBCUtils(),0,1
repository.database.JDBCUtils.getConnection(),1,2
repository.database.JDBCUtils.loadDBCredentials(),0,1
repository.database.UserDBRepo.UserDBRepo(UserValidator),0,1
repository.database.UserDBRepo.delete(Long),1,2
repository.database.UserDBRepo.findAll(),2,3
repository.database.UserDBRepo.findOne(Long),2,3
repository.database.UserDBRepo.save(User),2,3
repository.database.UserDBRepo.update(User),3,4
"service.Network.Network(FriendshipDBRepo, UserDBRepo)",0,1
service.Network.addFriendship(Friendship),7,7
service.Network.addUser(User),0,1
service.Network.deleteFriendship(Long),1,2
service.Network.deleteUser(Long),6,6
service.Network.getFriendships(),0,1
service.Network.getNewIdFriendship(),3,3
service.Network.getNewIdUser(),3,3
service.Network.getUsers(),0,1
service.Network.updateFriendship(Friendship),0,1
service.Network.updateUser(User),0,1
ui.Console.Console(Network),0,1
ui.Console.addFriendship(),3,4
ui.Console.addUser(),2,3
ui.Console.deleteFriendship(),1,2
ui.Console.deleteUser(),1,2
ui.Console.printFriendship(),1,2
ui.Console.printMenu(),0,1
ui.Console.printUser(),1,2
ui.Console.run(),4,11
ui.Console.updateFriendship(),3,4
ui.Console.updateUser(),2,3

Class,WMC
Main,1
domain.Entity,2
domain.Friendship,7
domain.User,9
domain.validator.FriendshipValidator,6
domain.validator.UserValidator,8
domain.validator.ValidationException,5
repository.database.FriendshipDBRepo,11
repository.database.JDBCUtils,3
repository.database.UserDBRepo,11
service.Network,23
ui.Console,24
utils.Constants,0

